Year,Mandan_SWF_CT_0N,Mandan_SWF_CT_22N,Mandan_SWF_CT_45N,Mandan_SWF_MT_0N,Mandan_SWF_MT_22N,Mandan_SWF_MT_45N,Mandan_SWF_NT_0N,Mandan_SWF_NT_22N,Mandan_SWF_NT_45N,Mandan_AC_CT_34N,Mandan_AC_CT_67N,Mandan_AC_CT_101N,Mandan_AC_MT_34N,Mandan_AC_MT_67N,Mandan_AC_MT_101N,Mandan_AC_NT_34N,Mandan_AC_NT_67N,Mandan_AC_NT_101N
1983,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810
1990,6674,6752,7137,6177,6333,6558,6376,6073,6147,5179,6675,7004,6936,7511,7404,7524,7497,7785
1996,6525,6455,6605,6471,6450,6600,6341,6320,6470,6610,6640,6545,6850,6880,6785,6935,6965,6870
