Year,FortValley_NT_WW_0N,FortValley_NT_WW_60N,FortValley_NT_WW_120N,FortValley_NT_R_0N,FortValley_NT_R_60N,FortValley_NT_R_120N,FortValley_NT_V_0N,FortValley_NT_V_60N,FortValley_NT_V_120N,FortValley_NT_VR_0N,FortValley_NT_VR_60N,FortValley_NT_VR_120N,FortValley_CT_WW_0N,FortValley_CT_WW_60N,FortValley_CT_WW_120N,FortValley_CT_R_0N,FortValley_CT_R_60N,FortValley_CT_R_120N,FortValley_CT_V_0N,FortValley_CT_V_60N,FortValley_CT_V_120N,FortValley_CT_VR_0N,FortValley_CT_VR_60N,FortValley_CT_VR_120N,FortValley_ST_WW_0N,FortValley_ST_WW_60N,FortValley_ST_WW_120N,FortValley_ST_R_0N,FortValley_ST_R_60N,FortValley_ST_R_120N,FortValley_ST_V_0N,FortValley_ST_V_60N,FortValley_ST_V_120N,FortValley_ST_VR_0N,FortValley_ST_VR_60N,FortValley_ST_VR_120N
1999,2810,2810,2810,2810,2810,2810,2810,2810,2810,2810,2810,2810,2670,2670,2670,2670,2670,2670,2670,2670,2670,2670,2670,2670,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
2002,2460,2440,2442,2520,2670,2860,2620,2730,2550,2610,2690,2810,2340,2280,2570,2840,2500,2770,2430,2440,2620,2370,2400,2590,2040,2230,2250,2180,2270,2310,2300,2270,2410,2380,2430,2410
