Year,ORpegn_FB_0N,ORpegn_NB_0N,ORpegn_NB_N45,ORpegn_NB_N90,ORpegn_NB_OmMN,ORpegn_NB_OmPV,ORpegn_SB_0N,ORpegn_SB_N45,ORpegn_SB_N90
1931,4867,5021,4990,4875,4857,4992,4812,4924,4941
1941,4644,4923,4836,4859,5088,5048,4574,4808,4708
1951,4215,4493,4596,4618,5307,5063,4269,4378,4280
1964,4245,4400,4491,4409,4939,4701,4318,4272,4181
1976,4001,4247,4424,4365,5080,4615,4142,4131,4152
1986,3702,3965,4136,4190,5018,4449,3896,3874,3995
1992,-999,3790.3,-999,3916.4,4277.4,4102.4,-999,-999,-999
1995,3471.9,3552.6,3653.3,3859.2,4461.6,4137.7,3830.2,3744,3741.3
2010,2339,2904,3064,3294,4962,3770,2597,2696,2812
