Year,Brookings_LRR_CS_Co,Brookings_LRR_SC_Co,Brookings_LRR_CS,Brookings_LRR_SC,Brookings_MRR_CS_Co,Brookings_MRR_SC_Co,Brookings_MRR_CS,Brookings_MRR_SC,Brookings_HRR_CS_Co,Brookings_HRR_SC_Co,Brookings_HRR_CS,Brookings_HRR_SC
2008,6688,8418,6730,8366,6843,8377,6296,8906,5850,7427,6406,6918
2009,6988,5878,7007,6353,6104,5981,6711,6432,5546,5529,6254,5491
2010,7044,7580,7190,7246,6707,7451,7143,7858,6179,6979,6149,6788
2011,8250,7345,8403,7618,7573,7502,8476,7480,7271,6798,7132,6756
2012,8017,9055,8326,9081,7944,8537,8031,8826,7624,8321,7361,7817
