Yr30cm_gC.m2,Mead2_cc_0N,Mead2_cc_LN,Mead2_cc_HN,Mead2_sb_0N,Mead2_sb_LN,Mead2_sb_HN,Mead2_sg_0N,Mead2_sg_LN,Mead2_sg_HN,Mead2_csb_0N,Mead2_csb_LN,Mead2_csb_HN,Mead2_sgsb_0N,Mead2_sgsb_LN,Mead2_sgsb_HN,Mead2_oatClov_sgsbc_0N,Mead2_oatClov_sgsbc_LN,Mead2_oatClov_sgsbc_HN,Mead2_sbsg_oatClov_c_0N,Mead2_sbsg_oatClov_c_LN,Mead2_sbsg_oatClov_c_HN
1984,5451,5451,5451,5894,5894,5894,5738,5738,5738,5599,5599,5599,5173,5173,5173,5842,5842,5842,5460,5460,5460
1992,5273,5380,5472,5749,5583,5600,5721,5698,5721,5501,5601,5485,5221,5249,5245,5870,5781,5950,5566,5558,5608
1998,4962,5100,5317,5587,5415,5388,5608,5476,5589,5331,5310,5293,4953,5035,5011,5742,5701,5867,5468,5403,5495
2002,4709,4950,5158,5400,5286,5376,5479,5324,5477,5264,5293,5308,4872,4971,4948,5698,5654,5780,5487,5374,5550
